X,Y,Index_,event_unique_id,year_,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,FID
-79.3788757,43.660671199999989,766,GO-20152151120,2015,D51,Stabbing,2015-12-15T05:00:00.000Z,75,Church-Yonge Corridor (75),43.6606712,-79.3788757,558
-79.5720749,43.7559776,767,GO-20152149617,2015,D31,Shooting,2015-12-15T05:00:00.000Z,21,Humber Summit (21),43.7559776,-79.5720749,559
-79.3797302,43.6473351,768,GO-20152123328,2015,D52,Stabbing,2015-12-11T05:00:00.000Z,76,Bay Street Corridor (76),43.6473351,-79.3797302,560
-79.2854004,43.6969986,769,GO-20152071129,2015,D41,Other,2015-11-28T05:00:00.000Z,121,Oakridge (121),43.6969986,-79.2854004,561
-79.4208679,43.6861954,770,GO-20152180756,2015,D13,Other,2015-12-20T05:00:00.000Z,106,Humewood-Cedarvale (106),43.6861954,-79.4208679,562
-79.3973465,43.7017975,771,GO-20152229877,2015,D53,Other,2015-12-30T05:00:00.000Z,104,Mount Pleasant West (104),43.7017975,-79.3973465,563
-79.2912979,43.6931458,772,GO-201620700,2016,D54,Shooting,2016-01-04T05:00:00.000Z,61,Taylor-Massey (61),43.6931458,-79.2912979,564
-79.4104843,43.7965355,773,GO-201698593,2016,D32,Other,2016-01-17T05:00:00.000Z,50,Newtonbrook East (50),43.7965355,-79.4104843,565
-79.5434952,43.6719971,774,GO-2016119350,2016,D22,Shooting,2016-01-20T05:00:00.000Z,10,Princess-Rosethorn (10),43.6719971,-79.5434952,566
-79.3331299,43.7981796,775,GO-2016120610,2016,D42,Shooting,2016-01-20T05:00:00.000Z,117,L'Amoreaux (117),43.7981796,-79.3331299,567
-79.5097122,43.5997925,776,GO-2016108786,2016,D22,Shooting,2016-01-19T05:00:00.000Z,18,New Toronto (18),43.5997925,-79.5097122,568
-79.2536545,43.7716827,777,GO-2016139786,2016,D43,Shooting,2016-01-24T05:00:00.000Z,127,Bendale (127),43.7716827,-79.2536545,569
-79.4658127,43.7082405,778,GO-2016173014,2016,D13,Shooting,2016-01-29T05:00:00.000Z,31,Yorkdale-Glen Park (31),43.7082405,-79.4658127,570
-79.399231,43.655853300000011,779,GO-2016181573,2016,D14,Shooting,2016-01-31T05:00:00.000Z,78,Kensington-Chinatown (78),43.6558533,-79.399231,571
-79.5810471,43.736351,780,GO-2016175803,2016,D23,Other,2016-01-30T05:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.736351,-79.5810471,572
-79.399231,43.655853300000011,781,GO-2016181573,2016,D14,Shooting,2016-01-31T05:00:00.000Z,78,Kensington-Chinatown (78),43.6558533,-79.399231,573
-79.5722122,43.65239720000001,782,GO-2016204501,2016,D22,Stabbing,2016-02-03T05:00:00.000Z,13,Etobicoke West Mall (13),43.6523972,-79.5722122,574
-79.3049393,43.715988199999984,783,GO-2016225259,2016,D54,Other,2016-02-07T05:00:00.000Z,43,Victoria Village (43),43.7159882,-79.3049393,575
-79.5038376,43.7028809,784,GO-2016235777,2016,D12,Stabbing,2016-02-09T05:00:00.000Z,28,Rustic (28),43.7028809,-79.5038376,576
-79.2894745,43.7064896,785,GO-2016345475,2016,D41,Stabbing,2016-02-27T05:00:00.000Z,120,Clairlea-Birchmount (120),43.7064896,-79.2894745,577
-79.5174942,43.692627,786,GO-2016354140,2016,D23,Shooting,2016-02-28T05:00:00.000Z,8,Humber Heights-Westmount (8),43.692627,-79.5174942,578
-79.219696,43.7450218,787,GO-2016359352,2016,D11,Shooting,2016-02-29T05:00:00.000Z,139,Scarborough Village (139),43.7450218,-79.219696,579
-79.213768,43.7443428,788,GO-2016317425,2016,D43,Other,2016-02-22T05:00:00.000Z,139,Scarborough Village (139),43.7443428,-79.213768,580
-79.3906631,43.6524124,789,GO-2016265129,2016,D52,Other,2016-03-04T05:00:00.000Z,78,Kensington-Chinatown (78),43.6524124,-79.3906631,581
-79.3051605,43.7971191,790,GO-2016481311,2016,D42,Shooting,2016-03-20T04:00:00.000Z,117,L'Amoreaux (117),43.7971191,-79.3051605,582
-79.51081090000001,43.7152748,791,GO-2016491854,2016,D12,Other,2016-03-22T04:00:00.000Z,23,Pelmo Park-Humberlea (23),43.7152748,-79.5108109,583
-79.3405991,43.662284899999989,792,GO-2016500861,2016,D55,Shooting,2016-03-23T04:00:00.000Z,70,South Riverdale (70),43.6622849,-79.3405991,584
